ids,comment_type,comment_text
1209,1П2, Оплата услуги по обработке данных. В том числе НДС за 12/07/2022
1210,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 12/07/2022
1211,1П2, Оплата за информационнотехнологические услуги. Без НДС за 13/07/2022
1212,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 13/07/2022
1213,1П/О, Прочие безвозмездные переводы денег на карту Kaspi Gold *0270
1214,1П1, За товары
1215,1П2, Оплата за информационнотехнологические услуги. Без НДС за 14/07/2022
1216,1П2, Оплата услуги по обработке данных. В том числе НДС за 14/07/2022
1217,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 14/07/2022
1218,1П1," За товары. С НДС 7103,57 тенге."
1219,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 15/07/2022
1220,1П/О, Прочие безвозмездные переводы денег накарту Kaspi Gold *0270
1221,1П2, Оплата за информационнотехнологические услуги. Без НДС за 15/07/2022
1222,1П1,"  За товары. Оплата по договору № 510537. НДС 7035,34 тенге."
1223,1П/О, Прочие безвозмездные переводы денег на карту Kaspi Gold *4373
1224,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 16/07/2022
1225,1П2, Оплата услуги по обработке данных. В том числе НДС за 16/07/2022
1226,1П2, Оплата за информационнотехнологические услуги. Без НДС за 16/07/2022
1227,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 17/07/2022
1228,1П2, Оплата услуги по обработке данных. В том числе НДС за 17/07/2022
1229,1П2, Оплата за информационнотехнологические услуги. Без НДС за 17/07/2022
1230,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 18/07/2022
1231,1П2, Оплата услуги по обработке данных. В том числе НДС за 18/07/2022
1232,1П2, Оплата за информационнотехнологические услуги. Без НДС за 18/07/2022
1233,1П1," За товары. С НДС 5357,14 тенге."
1234,1П2, Комиссия банка
1235,1П1," За товары. С НДС 3725,36 тенг"
1236,1П1," За товары. С НДС 8003,57 тенг"
1237,1П1," За товары. С НДС 2957,14 тенге."
1238,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 19/07/2022
1239,1П2, Оплата услуги по обработке данных. В том числе НДС за 19/07/2022
1240,1П2, Оплата за информационно-технологические услуги. Без НДС за 19/07/2022
1241,1П1," За товары. С НДС 4696,50 тенге"
1242,1П2, Комиссия банка
1243,1П1," За товары. С НДС 16695,43 тенге."
1244,1П1, За товары.
1245,1П1,"За товары. С НДС 2364,11 тенге."
1246,1П1," За товары. С НДС 4696,50 тенге"
1247,1П2, Оплата услуги по обработке данных. В том числе НДС за 20/07/2022
1248,1П2, Оплата за информационно-технологические услуги. Без НДС за 20/07/2022
1249,1Р, Возврат операций по картам Kaspi Gold и другим картам за 20/07/2022
1250,1П/О, Прочие безвозмездные переводы денег на карту Kaspi Gold *0270
1251,1П2, Комиссия банка
1252,1П2, Оплата услуги по обработке данных. В том числе НДС за 21 /07/2022
1253,1П2, Оплата за информационно-технологические услуги. Без НДС за 21/07/2022
1254,1П/О, Прочие безвозмездные переводы денег на карту Kaspi Gold *0270
1255,1П1," За товары. С НДС 8240,79 тенге"
1256,1П2, Комиссия банка
1257,1П2, Оплата услуги по обработке данных. В том числе НДС за 22 /07/2022
1258,1П2, Оплата за информационно-технологические услуги. Без НДС за 22/07/2022
1259,1Н1, ОПВ за июнь 22 г.
1260,1Н1, СО за июнь 22 г.
1261,1Н1, ВОСМС за июнь 22 г.
1262,1Н1, ОСМС за июнь 22 г.
1263,1Н2, ИПН за июнь 22 г.
1264,1П2, Комиссия банка
1265,1П2, Оплата услуги по обработке данных. В том числе НДС за 23/07/2022
1266,1П2, Оплата за информационно-технологические услуги. Без НДС за 23/07/2022
1267,1П2, Оплата услуги по обработке данных. В том числе НДС за 24/07/2022
1268,1П2, Оплата за информационно-технологические услуги. Без НДС за 24/07/2022
1269,1П1," За товары. С НДС: 5 916,21 тенге"
1270,1П1," За товары. С НДС: 6 499,82 тенге"
1271,1П1," За товары. С НДС: 4 790,25 тенге"
1272,1П2, Оплата услуги по обработке данных. В том числе НДС за 25/07/2022
1273,1П2, Оплата за информационно-технологические услуги. Без НДС за 25/07/2022
1274,1П1," За товары. С НДС 1542,86 тенге."
1275,1П2, Комиссия банка
1276,1П1, За аренду/лизинг
1277,1П2, Оплата услуги по обработке данных. В том числе НДС за 26/07/2022
1278,1П2, Оплата за информационно-технологические услуги. Без НДС за 26/07/2022
1279,1П2, Оплата услуги по обработке данных. В том числе НДС за 27/07/2022
1280,1П2, Оплата за информационно-технологические услуги. Без НДС за 27/07/2022
1281,1П2," Оплата услуг по обработке данных, связанных с доставкой внутри одного города РК сервисом Kaspi Доставка за 27/07/2022"
1282,1П2, Комиссия банка
1283,1П2, Комиссия банка
1284,1П2, Оплата услуги по обработке данных. В том числе НДС за 28/07/2022
1285,1П2, Оплата за информационно-технологические услуги. Без НДС за 28/07/2022
1286,1П2, Оплата услуги по обработке данных. В том числе НДС за 29/07/2022
1287,1П1," За товары.С НДС 26189,46 тенге"
1288,1П2, Комиссия банка
1289,1П1," За  товары.С НДС 1568,57 тенге."
1290,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 29/07/2022
1291,1П2, Оплата за информационно-технологические услуги. Без НДС за 29/07/2022
1292,1П2," Оплата услуг по обработке данных,связанных с доставкой внутри одного города РК сервисом Kaspi Доставка за29/07/2022"
1293,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 30/07/2022
1294,1П2, Оплата услуги по обработке данных. В том числе НДС за 30/07/2022
1295,1П2, Оплата за информационно-технологические услуги. Без НДС за 30/07/2022
1296,1П/О, Прочие безвозмездные переводы денег на карту Kaspi Gold *4373
1297,1П/О, Прочие безвозмездные переводы денег на карту Kaspi Gold *4373
1298,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 31/07/2022
1299,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 01/08/2022
1300,1П2, Оплата услуги по обработке данных. В том числе НДС за 31/07/2022
1301,1П2, Оплата за информационно-технологические услуги. Без НДС за 31/07/2022
1302,1П2," Оплата услуг по обработке данных,связанных с доставкой внутри одного города РК сервисом Kaspi Доставка за 31/07/2022"
1303,1П/О, Прочие безвозмездные переводы денег на карту Kaspi Gold *4373
1304,1П2, Комиссия банка
1305,1П/О, Прочие безвозмездные переводы денег на карту Kaspi Gold *4373
1306,1П2, Оплата услуг по обработке данных.В том числе НДС  01/08/2022
1307,1П2, Оплата за информационно-технологические услуги. Без НДС за 01/08/2022
1308,1П1," За товары. С НДС 1062,32 тенге."
1309,1П1," За товары. С НДС 6315,00 тенге"
1310,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 02/08/2022
1311,1П2, Оплата услуг по обработке данных.В том числе НДС  02/08/2022
1312,1П2, Оплата за информационно-технологические услуги. Без НДС за 02/08/2022
1313,1П2," Оплата услуг по обработке данных, связанных с доставкой внутри одного города РК сервисом Kaspi Доставка за 02/08/2022"
1314,1П1," За товары. С НДС 7483,18 тенге."
1315,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 03/08/2022
1316,1П2, Оплата услуги по обработке данных. В том числе НДС за 03/08/2022
1317,1П2, Оплата за информационно-технологические услуги. Без НДС за 03/08/2022
1318,1П/О," Перевод собственных средств с текущего счета №KZ87722S000014260477 на карту Kaspi Business №537040DIEHFI7076, от 04/08/2022"
1319,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 04/08/2022
1320,1П2, Оплата услуги по обработке данных. В том числе НДС за 04/08/2022
1321,1П2, Оплата за информационно-технологические услуги. Без НДС за 04/08/2022
1322,1П2," Оплата услуг по обработке данных, связанных с доставкой внутри одного города РК сервисом Kaspi Доставка за 04/08/2022"
1323,1П1," За товары. С НДС 2078,04 тенге."
1324,1П2," Оплата услуг по обработке данных, связанных с доставкой внутри одного города РК сервисом Kaspi Доставка за 05/08/2022"
1325,1П2, Оплата за информационно-технологические услуги. Без НДС за 05/08/2022
1326,1П2, Оплата за информационнотехнологические услуги. Без НДС за 07/08/2022
1327,1П2," Оплата услуг по обработке данных, связанных с доставкой внутри одного города РК сервисом Kaspi Доставка за 06/08/2022"
1328,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 06/08/2022
1329,1П2, Оплата за информационнотехнологические услуги. Без НДС за 08/08/2022
1330,1П/О, Прочие безвозмездные переводы денег на карту Kaspi Gold *4373
1331,1П2, Оплата услуги по обработке данных. В том числе НДС за 08/08/2022.
1332,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 08/08/2022.
1333,1П1," За товары. С НДС 41175,43 тенге."
1334,1П1," За товары. С НДС: 5 052,86 тенге."
1335,1П1," За товары. С НДС 1548,11 тенге."
1336,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 10/08/2022
1337,1П2, Оплата услуги по обработке данных. В том числе НДС за 10/08/2022
1338,1П2, Оплата за информационнотехнологические услуги. Без НДС за 10/08/2022
1339,2П, Возврат операций по картам Kaspi Gold и другим картам за 10/08/2022
1340,2П, Возврат операций по картам Kaspi Gold и другим картам за 09/08/2022
1341,1П/О," Перевод собственных средств с текущего счета №KZ87722S000014260477 на карту Kaspi Business №537040DIEHFI7076, от 11/08/2022"
1342,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 11/08/2022
1343,1П2, Оплата услуги по обработке данных. В том числе НДС за 11/08/2022
1344,1П2, Оплата за информационнотехнологические услуги. Без НДС за 11/08/2022
1345,1П2," Оплата услуг по обработке данных, связанных с доставкой внутри одного города РК сервисом Kaspi Доставка за 11/08/2022"
1346,1П/О, Прочие безвозмездные переводы денег на карту Kaspi Gold *4373
1347,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 12/08/2022
1348,1П2, Оплата услуги по обработке данных. В том числе НДС за 12/08/2022
1349,1П2, Оплата за информационнотехнологические услуги. Без НДС за 12/08/2022
1350,1П2," Оплата услуг по обработке данных, связанных с доставкой внутри одного города РК сервисом Kaspi Доставка за 12/08/2022"
1351,1П/О, Прочие безвозмездные переводы денег на карту Kaspi Gold *4373
1352,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 13/08/2022
1353,1П2, Оплата услуги по обработке данных. В том числе НДС за 13/08/2022
1354,1П2, Оплата за информационнотехнологические услуги. Без НДС за 13/08/2022
1355,1П2," Оплата услуг по обработке данных, связанных с доставкой внутри одного города РК сервисом Kaspi Доставка за 13/08/2022"
1356,2П, Возврат операций по картам Kaspi Gold и другим картам за 13/08/2022
1357,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 14/08/2022
1358,1П2, Оплата услуги по обработке данных. В том числе НДС за 14/08/2022
1359,1П2,  Оплата за информационнотехнологические услуги. Без НДС за 14/08/2022
1360,1П2," Оплата услуг по обработке данных, связанных с доставкой внутри одного города РК сервисом Kaspi Доставка за 14/08/2022"
1361,1П4," За профессиональные, научные и технические услуги."
1362,1П1," За товары. С НДС 1821,43 тенге"
1363,1П1," За товары. По договору 510537. С НДС 5700,62 тенге."
1364,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 15/08/2022
1365,1П2, Оплата услуги по обработке данных. В том числе НДС за 15/08/2022
1366,1П2, Оплата за информационнотехнологические услуги. Без НДС за 15/08/2022
1367,1П2," Оплата услуг по обработке данных, связанных с доставкой внутри одного города РК сервисом Kaspi Доставка за 15/08/2022"
1368,1П1," За товары. С НДС: 2 142,86 тенге."
1369,1П1, За товары.
1370,1П1," За товары. С НДС 7007,14 тенге"
1371,1П1," За товары. С НДС 1434,11 тенге"
1372,1П2, Оплата за услуги операций по картам Kaspi Gold и другим картам за 16/08/2022
1373,1П2, Оплата услуги по обработке данных. В том числе НДС за 16/08/2022
1374,1П2, Оплата за информационнотехнологические услуги. Без НДС за 16/08/2022
0,2Р1," Оплата остаток ,за дизайн квартиры на основании Договора № 2020/11 от 20.12.2020г. Сумма 1 545 700-00тенге в т.ч. НДС(без НДС) 0-00 тенге Платежи за профессиональные,научные и технические услуги,"
1,2Р1," (SM.BANK ПЕР. НА СЧЕТ ЮЛ) СО СЧЕТА KZ349480006A03697798 ДЛЯ ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ  ОТВЕТСТВЕННОСТЬЮ ""AKKA INTERIORS"" БИН:19034  0028827 ИИК:KZ7296503F0008547499"
2,2Р1," Оплата по счету №25 за услуги способствующие продажам товара.Платежи за профессиональные, н"
3,2Р1," Оплата согласно счету на оплату №4 от 1 марта 2021г по Договор у №2021/6 на оказание услуг разработка дизайн проекта 1,2,3 транш"
4,2Р1, СУБП: Homebank. 2 транш по договору. Референс: 9C153519834
5,2Р1, Оплата по счету №16 за услуги спосо бствующие продаже товара Платежи за профессиональные
6,2Р1, СУБП: Homebank. 3 транш по договору.Референс: 9C155289114
7,2Р1," За профессиональные, научные и технические услуги. Договор на оказание услуг #2022/1 от 2.01.2022г."
8,2Р1," Оплата по счету №1 за услуги способ ствующие продаже товара Платежи за профессиональные,"
9,2Р1, СУБП: Homebank. Счёт #2 от 2/02/2022 Договор #2022/3 от 15.01. 2022. Референс: 9C159857361
10,2Р1," Оплата по счету №3 за услуги способствующие продаже товара Платежи за профессиональные, н"
11,2Р1," (SM.BANK ПЕР. НА СЧЕТ ЮЛ) СО СЧЕТА KZ349480006A03697798 ДЛЯ ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ  ОТВЕТСТВЕННОСТЬЮ ""AKKA INTERIORS"" БИН:19034  0028827 ИИК:KZ7296503F0008547499"
12,2Р1," За услуги по счету №1,2 от 04.02.2022 г  Платежи за профессио нальные, научные и технические услуги"
13,2Р1," Счет на оплату 29 от 25 марта 2022года¶договор 2021/13 на ок¶азание услуг от 9.11.2021г. от САДЫКОВА¶ПОЛИНА ЕВГЕНЬЕВНА 890406400760"
14,2Р1, Оплата за дизайнерские услуги на осн.¶Договора № 93-2020 от 01.11.2020 г
15,2Р1," Оплата за дизайнерские услуги, согласно¶счет-фактуре №00000000¶004 от 29.04.2022 г. Платежи за¶профессиональные, научные и¶технически¶е услуги,"
16,2Р1," Оплата согласно счет фактуры № 5 от 06.05.2022 Платежи за профессиональные, научные и технические услуги"
17,2Р1," Оплата по счету №8 за услуги способствующие продаже товара Платежи за профессиональные, н"
18,2Р1, Оплата за разработку дизайна проекта 1 транш. Согласно счета на оплату №33 от 01.08.2022 ИИН 831205400640 Чоманова Дана Уришбаевна
19,1ЗП, за декабрь 21г.
20,1П2," Комиссия за операцию ""Простой перевод""согласно тарифам банкаРасчетный документ № 74 от 09.08.22 на сумму 70000.00 KZT, НДС не облагается."
21,1П4, Согласно счета на оплату № 2104 от 25 июля 2022 г.
22,1П2, Комиссия
23,1Н1,  Восмс за Август 2021г
24,1Н1, Осмс за август 2021г
25,1Н2, СО за  август 2021г
26,1Н1, ОПВ за август 21г
27,1ЗП," Заработная плата за август, сентябрь 21г и компенсация отпуска при увольнении"
28,1Н2, ИПН за август 21г
29,1П2, комиссия
30,1П2, комиссия
31,1Н2, Оплата НДС за импорт из ЕАЭС
32,1Н2, Пеня по НДС за импорт из ЕАЭС
33,1П2," Комиссия за операцию ""Простой перевод""согласно тарифам банкаРасчетный документ № 112 от 17.09.21 на сумму 88 000.00 KZT, НДС не облагается."
34,1П4, Счет на оплату № 1829 от 24.08.2021
35,1П2," Комиссия за обслуживание в системе «ForteBusiness» за СЕНТЯБРЬ 2021, в т.ч. НДС 160.71 тенге."
36,1П2, КОМИССИЯ
37,1ЗП, ЗП за сентябрь 2021г.
38,1Н1, ОПВ за сентябрь 2021г.
39,1Н1, СО за сентябрь 2021г.
40,1Н1, ВОСМС за сентябрь 2021г.
41,1Н1, ОСМС за сентябрь 2021г.
42,1Н2, ИПН за сентябрь 2021г.
43,1П2, комиссия
44,1П2, комиссия
45,1П2, комиссия
46,1П4, Счет на оплату № 2104 от 23.09.2021
47,1П2," Комиссия за операцию ""Ведение счета""согласно тарифам банка, НДС не облагается."
48,1П2," Комиссия за обслуживание в системе«ForteBusiness» за ОКТЯБРЬ 2021, в т.ч.НДС 160.71 тенге"
49,1П2, Комиссия за 01.11.2021
50,1П4, Счет на оплату № 2411 от 25.10.2021
51,1ЗП, ЗП за октябрь 2021г.
52,1Н1, ОПВ за октябрь 2021г.
53,1Н1, СО за октябрь 2021г.
54,1Н1, ВОСМС за октябрь 2021г.
55,1Н1, ОСМС заа октябрь 2021г.
56,1Н2, ИПН за октябрь 2021г.
57,1П/О, подотчет ч/з Кошумбаева Айдана Сагитовна
58,1П2," Комиссия за операцию ""Выдача наличных по предварительной заявке для ЮЛ"" согласно тарифам банкаКассовый документ № 32-017974 от 19.11.21 на сумму 2 000 000.00 KZT, НДС не облагается."
59,1П2," Комиссия за обслуживание в системе «ForteBusiness» за НОЯБРЬ 2021, в т.ч. НДС 160.71 тенге."
60,1П2," Комиссия за операцию ""Ведение счета"" согласно тарифам банка, НДС не облагается."
61,1П4, Счет на оплату № 2694 от 23 ноября 2021 г
62,1П2, Комиссия за 02.12.21
63,1ЗП, за ноябрь 21г
64,1Н1, ОПВ за ноябрь 21г
65,1Н1, Со за ноябрь 21г
66,1Н1, Восмс за ноябрь 21г
67,1Н1, Осмс за ноябрь 21г
68,1Н2, ИПН за ноябрь 21г
69,1П2, комиссия банка
70,1П/О, подотчет ч/з Кошумбаева Айдана Сагитовна
71,1П2, Комиссия за 30.12.2021
72,1П4, Оплата по счету № 2964 от 22.12.2021
73,1Н1, ОПВ за декабрь 21г.
74,1Н1, СО за декабрь 21г.
75,1Н1, ВОСМС за декабрь 21г.
76,1Н1, ООСМС за декабрь 21г.
77,1Н2, ИПН за декабрь 21г.
78,1СР/С, Снятие на адм. расходы ч/з Кошумбаева Айдана Сагитовна
79,1П2," Комиссия за операцию ""Выдача наличных без предварительной заявки для ЮЛ"" согласно тарифам банкаКассовый документ № 32-000125 от 11.01.22 на сумму 2 500 000.00 KZT, НДС не облагается."
80,1Н1, СО за апрель 22г
81,1П2," Комиссия за обслуживание в системе «ForteBusiness» за ЯНВАРЬ 2022, в т.ч. НДС 160.71 тенге, Комиссия за операцию ""Ведение счета""согласно тарифам банка, НДС не облагается."
82,1Н2, ИПН за январь 22г.
83,1Н1, ОПВ за январь 22г.
84,1Н1, СО за январь 22г.
85,1Н1, ВОСМС за январь 22г.
86,1Н1, ОСМС за январь 22г.
87,1ЗП, за январь 22г.
88,1П4, Оплата по счету № 182 от 24.01.2022
89,1П2," Комиссия за 31,01,2022 год"
90,1П2, Комиссия за 25.02.2022
91,1Н1, ОПВ за февраль 22г.
92,1Н1, СО за февраль 22г.
93,1Н1, ВОСМС за февраль 22г.
94,1Н1, ОСМС за февраль 22г.
95,1ЗП, за февраль 22г.
96,1Н2, ИПН за февраль 22г.
97,1П2, Комиссия за 28.02.2022
98,1П4, Оплата по счету № 503 от 22.02.2022
99,1П2," Комиссия за операцию ""Простой перевод"" согласно тарифам банкаРасчетный документ № 21 от 15.03.22 на сумму 70 000.00 KZT, НДС не облагается."
100,1П2," Комиссия за обслуживание в системе¶«ForteBusiness» за МАРТ 2022, в т.ч.¶НДС 160.71 тенге."
101,1П2," Комиссия за операцию ""Ведение счета""¶согласно тарифам банка, НДС не¶облагается."
102,1П2," Комиссия за операцию ""Обязательный¶пенсионный взнос"" согласно тарифам¶банкаРасчетный документ № 27 от¶01.04.22 на сумму 95 826.00 KZT, НДС не¶облагается."
103,1Н1, ОПВ за март 22г
104,1П4, Оплата по счету № 775 от 24.03.2022
105,1Н1, СО за март 22г
106,1Н1, ВОСМС за март 22г
107,1Н1, ООСМС за март 22г
108,1Н2, ИПН за март 22г
109,1ЗП, за март 22г
110,1Н1, ОПВ за апрель 22г
111,1Н1, ВОСМС за апрель 22г
112,1Н1, ООСМС за апрель 22г
113,1Н2, ИПН за апрель 22г
114,1ЗП, за апрель 22г
115,1П4, Оплата по счету № 1081 от 25.04.2022
116,1П2, Комиссия
117,1П2, Комиссия
118,1ЗП, за май 22г  и отпуск
119,1П4, Оплата по счету № 1422 от 23.05.2022
120,1П2, Комиссия
121,1ЗП, за май 22г
122,1Н1, ОПВ за май 2022г
123,1Н1, СО за май 22г.
124,1Н1, ВОСМС за май 22г.
125,1Н1, ОСМС за май 22г.
126,1Н2, ИПН за май 22г.
127,1П2, Комиссия
128,1Н1, ОПВ за июнь 22г.
129,1Н1, СО за июнь 22г.
130,1Н1, ВОСМС за июнь 22г.
131,1Н1, ОСМС за июнь 22г.
132,1Н2, ИПН за июнь 22г.
133,1ЗП, за июнь 22г.
134,1П2, КОМИССИЯ
135,1П4, Оплата по счету № 1722 от 22 июня 2022 г.
136,1Н2, ИПН за июль 22 г.
137,1Н1, ВОСМС за июль 22 г.
138,1Н1, ОСМС за июль 22 г.
139,1Н1, СО за июль 22 г.
140,1Н1, ОПВ за июль 22 г.
141,1ЗП, за июль 22 г.
142,1П2, комиссии за 20.07
143,1П2, комиссии за 20.07
144,1П4, Согласно счета на оплату № 2104 от 25 июля 2022 г.
145,1П2," Комиссия за операцию ""Простой перевод"" согласно тарифам банкаРасчетный документ № 75 от 10.08.22 на сумму 70000.00 KZT, НДС не облагается."
1,2Р1," 990 000 согл дог FKPO\Пос\TOM\436 от¶19.05.2022 за материалы П¶латежи за товары, за исключением¶недвижимости и товаров с кодами назна¶чения платежей 711, 712 и 713,"
2,2Р1," FKPO\Пос\SAYL\437 от¶16.05.2022 за материалы¶ Платежи за товары, за исключением¶недвижимости и товаров с кодами наз¶начения платежей 711, 712 и 713"
3,2Р1," FKPO\Пос\KLK2\435 от¶19.05.2022 за материалы ¶Платежи за товары, за исключением¶недвижимости и товаров с кодами назн¶ачения платежей 711, 712 и 713"
4,2Р1," огл дог FKPO\Пос\TOM\436 от¶19.05.2022г.,счет на оп¶лату № 5 от 06.06.2022г. за ТМЦ Платежи¶за товары, за исключением недв¶ижимости и товаров с кодами назначения¶платежей 711, 712 и 713"
5,2Р1," согл дог FKPO\Пос\KLK2\435 от¶19.05.2022 за ТМЦ Плат¶ежи за товары, за исключением¶недвижимости и товаров с кодами¶назначен¶ия платежей 711, 712 и 713"
6,2Р1," согл дог FKPO\Пос\SAYL\437 от¶16.05.2022 за материал¶ы Платежи за товары, за исключением¶недвижимости и товаров с кодами на¶значения платежей 711, 712 и 713,"
7,2Р1," СФ# G000693/22-2007/6 за 20.07.2022 ЗП#  Ст.-Окончательный.Авансовый платеж 30% за ТМЦ, согл. договору № KPB/Пос/KRT/1229 от 21.06.2022"
8,2Р1," СФ# G000693/22-2007/3 за 20.07.2022 ЗП#  Ст.-Окончательный.Авансовый платеж 30% за ТМЦ, согл. договору № KPB/Пос/KLK/1227 от 21.06.2022"
9,2Р1," СФ# G000693/22-2007/15 за 20.07.2022 ЗП#  Ст.-Окончательный.Авансовый платеж 30% за ТМЦ, согл. договору № KPB/Пос/NUR/1238 от 06.06.2022"
10,2Р1," СФ# G000693/22-2807/9 за 28.07.2022¶ЗП# Ст.-Окончательный.Ава¶нс 30%, за ТМЦ согл договору¶KPB/Пос/MAD/1290 от 13.06.2022"
11,2Р1," согл дог FKPO\Оку\TOM\467 от¶26.05.2022 за услуги Плат¶ежи за профессиональные, научные и¶технические услуги"
12,2Р1," Оплата за ТМЦ согл договора FKPO\Пос\TOM\436 от 19.05.2022 Платежи за товары, за исключением недвижимости и товаров с кодами назначения платежей 711, 712 и 713,"
13,2Р1," Оплата за монтаж и демонтаж ковролина согласно Электронный счет-фактура № 00000000011 от 04.07.2022г.,дог FKPO\Оку\SAYL\470  от 16.05.2022 г. Платежи за профессиональные, научные и технические услуги"
14,2Р1," Оплата за подиум согласно Электронный счет-фактура № 00000000013 от 04.07.2022г.,дог FKPO\Пос\SAYL\437 от 16.05.2022г. Платежи за товары, за исключением недвижимости и товаров с кодами назначения платежей 711, 712 и 713,"
15,2Р1," Оплата за линолеум по договору¶FKPO\Оку\KLK2\466 от 2¶6.05.2022 г. Платежи за товары, за¶исключением недвижимости и товаров ¶с кодами назначения платежей 711, 712 и¶713"
16,2Р1," согл дог FKPO\Пос\KLK2\435 от¶19.05.2022 за ТМЦ Плат¶ежи за товары, за исключением¶недвижимости и товаров с кодами¶назначен¶ия платежей 711, 712 и 713,"
17,2Р1," СФ# G000693/22-2707/7 за 27.07.2022¶ЗП# Ст.-Окончательный.Ава¶нс 30%, за ТМЦ согл договору¶KPB/Пос/DRH/1340 от 14.06.2022"
18,2Р1," 616 000 согл дог BAL\Пос\NUR\3296 от 04.08.2022 за Основные сырье и материалы Предоплата за баннер, согласно договору посавки Платежи за товары, за исключением недвижимости и товаров с кодами назначения платежей 711, 712 и 713,"
19,2Р1," 616 000 согл дог BAL\Пос\MAD\3313 от 04.08.2022 за Основные сырье и материалы Предоплата за баннер, согласно договору поставки Платежи за товары, за исключением недвижимости и товаров с кодами назначения платежей 711, 712 и 713,"
20,2Р1," 616 000 согл дог BAL\Пос\DRH\3306 от 04.08.2022 за Основные сырье и материалы Предоплата за баннер, согласно договору поставки Платежи за товары, за исключением недвижимости и товаров с кодами назначения платежей 711, 712 и 713,"
21,1П2, Комиссия банка
22,1П2, комиссия банка
23,1П1, Согласно счета на оплату № 274079 от 25.10.2021 г
24,1П2, комиссия банка
25,1П2, комиссия банка
26,1П2, комиссия банка
27,1Н2, НДС за 3 квартал 2021 г.
28,1П2, комиссия банка
29,1П2, комиссия банка
30,1П2, комиссия банка за обслуживание в системе
31,1П2, комиссия банка
32,1П2, комиссия банка
33,1П2, комиссия банка
34,1П2, комиссия банка
35,1П2, комиссия банка
36,1П2, комиссия банка
37,1П2, комиссия банка
38,1П2, комиссия банка
39,1П4, Согласно счета на оплату № 1505 от¶25 мая 2022 г
40,2П,/О Возврат денежных средств в подотчет.
41,1П2, комиссия банка
42,1П1," Согласно счета на оплату № 83 от 2¶июня 2022 г."
43,1П/О, Выдача денежных средств¶подотчет
44,1П1, за услуги
45,1П2, комиссия банка
46,1П1, Согласно счета на оплату № 00469 от¶13.06.2022.
47,1ЗП, за май/июнь
48,1Н1, СО_Май/Июнь 2022г.
49,1Н1, ОПВ_Май/Июнь 2022г.
50,1П2, комиссия банка
51,1Н1, ВОСМС_Май/Июнь 2022г.
52,1Н1, ОСМС_Май/Июнь 2022г.
53,1Н2, ИПН_Май/Июнь 2022г.
54,1П1," Согласно счета на оплату № 63 от¶13.06.2022 г."
55,1П/О, Выдача денежных средств¶подотчет
56,1П2, комиссия банка
57,1П2, комиссия банка
58,1П1," Согласно счета на оплату № 00511 от¶21.06.2022 г."
59,1П1, Услуги
60,1П1, Согласно счета на оплату № 409 от¶21.06.2022 г
61,1П2, комиссия банка
62,1П1, Согласно счета на оплату №¶ИНТ-008087 от 22.06.2022 г.¶
63,1П2, комиссия банка
64,1П1, Согласно счета на оплату № 22-8086¶от 23 июня 2022 г.
65,1П4, Согласно счета на оплату № 1612 от¶22 июня 2022 г
66,1П2, комиссия банка
67,1П/О, Выдача денежных средств¶подотчет.
68,1П/О, Выдача денежных средств¶подотчет.
69,1П2, комиссия банка
70,1П2, комиссия банка
71,1П2, комиссия банка
72,1П2, комиссия банка
73,1П1, Согласно счета на оплату № 141 от¶26.07.2022 г
74,1П1, Согласно счета на оплату № 00630 от¶26.07.2022 г
75,1П4, Счет на оплату № 1908 от 25 июля¶2022 г
76,1П2, комиссия банка
77,1П2, комиссия банка
78,1П1," Согласно счета на оплату № 502 от¶26.07.2022 г."
79,1П/О, Выдача денежных средств¶подотчет.
80,1П2, комиссия банка
81,1П1, Согласно счета на оплату №¶ИНТ-010280 от 28.07.2022 г.
82,1П1," Согласно счета на оплату №¶22-10639 от 28.07.2022г."
83,1П1," Согласно счета на оплату № 73 от¶28.07.2022 г."
84,1П1," Согласно счету на оплату №0000000256 от 12.08.2022"
